Year,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,Grand Total
1900-1910,0,13,42,6,0,7,0,0,0,0,2,3,15,8,0,96
1911-1920,0,3,33,8,0,4,0,0,0,1,1,0,18,3,2,73
1920-1930,0,2,53,7,0,10,0,0,0,1,5,0,37,2,2,119
1930-1940,0,11,57,3,2,12,0,0,0,0,5,1,38,2,1,132
1940-1950,0,4,73,3,0,20,0,0,0,1,5,0,59,8,4,177
1950-1960,0,1,69,1,8,78,1,0,0,0,21,1,132,9,1,322
1960-1970,0,53,92,41,9,179,0,0,0,0,30,2,216,11,12,645
1970-1980,0,83,117,63,18,272,0,0,0,5,52,2,309,25,27,973
1980-1990,0,122,197,134,48,545,0,0,0,48,105,16,653,32,60,1960
1990-2000,0,145,254,480,109,962,0,0,0,13,173,11,864,55,129,3195
2000-2010,0,166,283,531,222,1752,0,0,0,17,196,7,1040,61,119,4394
2010-2021,1,167,274,224,187,1710,0,2,1,10,181,5,1115,49,114,4040
